12W     HAITANG DISSIPATED170731 1800T  28.7N  116.6E WPAC   35  993
12W     HAITANG 170731 1200  28.1N  116.9E WPAC   35  993
12W     HAITANG 170731 0600  27.3N  118.0E WPAC   35  993
12W     HAITANG 170731 0000  25.9N  119.2E WPAC   35  992
12W     HAITANG 170730 1800  25.1N  120.0E WPAC   40  988
12W     HAITANG 170730 1200  22.8N  120.5E WPAC   45  985
12W     HAITANG 170730 0600  21.8N  120.3E WPAC   45  985
12W     HAITANG 170730 0000  19.9N  119.1E WPAC   40  992
12W     HAITANG 170729 1800  19.6N  118.2E WPAC   40  992
12W     HAITANG 170729 1200  18.8N  117.5E WPAC   40  992
12W     HAITANG 170729 0600  18.2N  116.6E WPAC   35  995
12W     HAITANG 170729 0000  18.1N  116.4E WPAC   35  995
12W     HAITANG 170728 1800  18.1N  115.5E WPAC   35  995
12W     HAITANG 170728 1200  18.5N  115.6E WPAC   35  995
12W     HAITANG 170728 0600  19.2N  116.3E WPAC   30  999
12W     HAITANG 170728 0000  19.3N  117.1E WPAC   20  1000
12W     HAITANG 170727 1800  19.1N  117.2E WPAC   20  1000
12W     HAITANG 170727 1200  18.5N  117.2E WPAC   20  1001
12W     HAITANG 170727 0600  18.0N  116.7E WPAC   20  1002
12W     HAITANG 170727 0000  17.8N  116.4E WPAC   20  1001
12W     HAITANG 170726 1800  17.7N  116.2E WPAC   20  1001
12W     HAITANG 170726 1200  17.5N  115.9E WPAC   15  1010
12W     HAITANG 170726 0600  17.2N  115.9E WPAC   15  1010
12W     HAITANG 170726 0000  17.0N  115.8E WPAC   15  1010
12W     HAITANG 170725 1800  16.8N  115.7E WPAC   15  1010
00	00	00	00	00	00	00	00	00
T	NORU	120	T	29.0N	131.4E	WPAC	80	NA
T	NORU	96	T	28.5N	132.7E	WPAC	90	NA
T	NORU	72	T	27.9N	134.2E	WPAC	85	NA
T	NORU	48	T	26.6N	135.8E	WPAC	80	NA
T	NORU	24	T	25.0N	136.6E	WPAC	85	NA
07W       NORU “NORU”170801 0000T  23.6N  138.3E WPAC  95   950
07W       NORU 170731 1800  23.3N  138.8E WPAC  100   940
07W       NORU 170731 1200  23.1N  139.3E WPAC  105   930
07W       NORU 170731 0600  22.9N  139.8E WPAC  110   924
07W       NORU 170731 0000  22.8N  140.5E WPAC  115   922
07W       NORU 170730 1800  22.8N  140.9E WPAC  125   912
07W       NORU 170730 1200  22.9N  141.4E WPAC  105   937
07W       NORU 170730 0600  23.3N  141.5E WPAC   90   956
07W       NORU 170730 0000  23.7N  141.6E WPAC   65   974
07W       NORU 170729 1800  24.5N  141.8E WPAC   60   980
07W       NORU 170729 1200  25.3N  141.9E WPAC   65   973
07W       NORU 170729 0600  26.1N  142.2E WPAC   65   976
07W       NORU 170729 0000  26.9N  142.6E WPAC   65   976
07W       NORU 170728 1800  27.7N  143.1E WPAC   65   976
07W       NORU 170728 1200  28.3N  143.7E WPAC   65   975
07W       NORU 170728 0600  28.9N  144.5E WPAC   65   975
07W       NORU 170728 0000  29.5N  145.3E WPAC   65   975
07W       NORU 170727 1800  30.3N  146.8E WPAC   65   975
07W       NORU 170727 1200  30.7N  148.4E WPAC   75   971
07W       NORU 170727 0600  30.9N  150.5E WPAC   75   971
07W       NORU 170727 0000  30.6N  152.0E WPAC   65   976
07W       NORU 170726 1800  30.4N  153.9E WPAC   65   974
07W       NORU 170726 1200  29.8N  155.6E WPAC   80   963
07W       NORU 170726 0600  29.0N  156.9E WPAC   80   963
07W       NORU 170726 0000  28.1N  157.9E WPAC   75   967
07W       NORU 170725 1800  27.0N  158.4E WPAC   75   968
07W       NORU 170725 1200  26.2N  158.2E WPAC   80   965
07W       NORU 170725 0600  25.9N  157.6E WPAC   80   961
07W       NORU 170725 0000  25.7N  156.7E WPAC   80   968
07W       NORU 170724 1800  25.7N  155.6E WPAC   80   969
07W       NORU 170724 1200  26.1N  154.3E WPAC   80   969
07W       NORU 170724 0600  26.8N  153.2E WPAC   80   967
07W       NORU 170724 0000  27.2N  152.3E WPAC   80   960
07W       NORU 170723 1800  27.5N  151.5E WPAC   80   959
07W       NORU 170723 1200  28.0N  151.4E WPAC   80   964
07W       NORU 170723 0600  28.0N  151.3E WPAC   60   978
07W       NORU 170723 0000  28.3N  151.3E WPAC   45   992
07W       NORU 170722 1800  28.3N  152.2E WPAC   50   991
07W       NORU 170722 1200  28.1N  152.7E WPAC   45   995
07W       NORU 170722 0600  28.0N  153.1E WPAC   45   993
07W       NORU 170722 0000  28.2N  153.7E WPAC   40   996
07W       NORU 170721 1800  28.2N  154.4E WPAC   35   999
07W       NORU 170721 1200  28.2N  154.9E WPAC   35  1000
07W       NORU 170721 0600  28.0N  155.9E WPAC   30  1003
07W       NORU 170721 0000  28.0N  156.8E WPAC   30  1004
07W       NORU 170720 1800  27.7N  158.1E WPAC   25  1006
07W       NORU 170720 1200  27.6N  158.9E WPAC   20  1009
07W       NORU 170720 0600  27.3N  159.7E WPAC   20  1009
07W       NORU 170720 0000  27.0N  159.9E WPAC   20  1008
07W       NORU 170719 1800  26.7N  160.0E WPAC   20  1011
07W       NORU 170719 1200  26.4N  160.2E WPAC   20  1006
